ID,Case Number,Date,Block,IUCR,Primary Type,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
11583786,JC132741,12/25/2018 08:00:00 PM,010XX E 90TH ST,930,MOTOR VEHICLE THEFT,FALSE,FALSE,413,4,8,47,7,,,2018,02/03/2019 04:01:10 PM,,,
11583778,JC138075,12/05/2018 04:45:00 PM,018XX N MILWAUKEE AVE,1365,CRIMINAL TRESPASS,FALSE,FALSE,1434,14,32,22,26,,,2018,02/03/2019 04:01:10 PM,,,
11583728,JC137900,12/11/2018 09:00:00 AM,066XX N SIOUX AVE,1122,DECEPTIVE PRACTICE,FALSE,FALSE,1621,16,41,12,10,,,2018,02/03/2019 04:01:10 PM,,,
11583678,JC137923,10/25/2018 04:48:00 PM,033XX W 108TH ST,810,THEFT,FALSE,FALSE,2211,22,19,74,6,,,2018,02/03/2019 04:01:10 PM,,,
11583546,JC137688,10/14/2018 09:00:00 AM,106XX S CENTRAL PARK AVE,5000,OTHER OFFENSE,FALSE,TRUE,2211,22,19,74,26,,,2018,02/03/2019 04:01:10 PM,,,
11583406,JC137607,09/01/2018 12:00:00 PM,016XX N MANGO AVE,1153,DECEPTIVE PRACTICE,FALSE,FALSE,2531,25,29,25,11,,,2018,02/03/2019 04:01:10 PM,,,
11583343,JB294625,03/30/2018 09:00:00 PM,041XX W 48TH ST,1562,SEX OFFENSE,FALSE,FALSE,815,8,14,57,17,,,2018,02/03/2019 04:01:10 PM,,,
11583342,JB294623,03/30/2018 09:00:00 PM,041XX W 48TH ST,1562,SEX OFFENSE,FALSE,FALSE,815,8,14,57,17,,,2018,02/03/2019 04:01:10 PM,,,
11583334,JC137491,07/29/2018 11:00:00 AM,068XX S PAXTON AVE,1153,DECEPTIVE PRACTICE,FALSE,FALSE,331,3,5,43,11,,,2018,02/03/2019 04:01:10 PM,,,
11583309,JC137446,01/23/2018 12:00:00 AM,015XX S WABASH AVE,820,THEFT,FALSE,FALSE,131,1,3,33,6,,,2018,02/03/2019 04:01:10 PM,,,
11583295,JC136115,01/01/2018 12:01:00 AM,014XX W 112TH PL,1751,OFFENSE INVOLVING CHILDREN,FALSE,FALSE,2234,22,34,75,20,,,2018,02/03/2019 04:01:10 PM,,,
11583288,JC136088,12/31/2018 12:01:00 AM,043XX N MOBILE AVE,1751,OFFENSE INVOLVING CHILDREN,FALSE,FALSE,1624,16,38,15,20,,,2018,02/03/2019 04:01:10 PM,,,
24392,JB323792,06/26/2018 05:16:00 PM,077XX S COLES AVE,110,HOMICIDE,FALSE,FALSE,421,4,7,43,01A,1196807,1854560,2018,02/03/2019 03:54:34 PM,41.7557813,-87.5543098,"(41.755781299, -87.554309795)"
24296,JB516097,11/14/2018 08:13:00 PM,039XX W GLADYS AVE,110,HOMICIDE,TRUE,FALSE,1132,11,28,26,01A,1150179,1898065,2018,02/03/2019 03:54:34 PM,41.87619673,-87.72406082,"(41.876196728, -87.724060818)"
11582732,JC136693,07/24/2018 12:00:00 AM,015XX S FAIRFIELD AVE,2820,OTHER OFFENSE,FALSE,FALSE,1023,10,28,29,26,,,2018,02/03/2019 03:54:34 PM,,,
